OrganizationIdentifier,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,HUCEightDigitCode,LatitudeMeasure,LongitudeMeasure,StateCode,CountyCode,ProviderName
21IOWA_WQX,21IOWA_WQX-14000173,RKCRK 1,Lake,7080106,41.756911,-92.841601,19,99,STORET
21IOWA_WQX,21IOWA_WQX-14000174,RKCRK 2,Lake,7080106,41.74921,-92.842089,19,99,STORET
21IOWA_WQX,21IOWA_WQX-14000175,RKCRK 3,Lake,7080106,41.744702,-92.838757,19,99,STORET
21IOWA_WQX,21IOWA_WQX-14000176,RKCRK 4,Lake,7080106,41.744307,-92.846215,19,99,STORET
21IOWA_WQX,21IOWA_WQX-14000177,RKCRK 5,Lake,7080106,41.745568,-92.860415,19,99,STORET
21IOWA_WQX,21IOWA_WQX-14000235,Ada Hayden Heritage Park Lake,Lake,7080105,42.06594,-93.6278,19,169,STORET
21IOWA_WQX,21IOWA_WQX-14000242,South Fork Iowa River 3,River/Stream,7080207,42.41421,-93.33139,19,83,STORET
21IOWA_WQX,21IOWA_WQX-14000244,McKinley Lake,Lake,10240012,41.053043,-94.386655,19,175,STORET
21IOWA_WQX,21IOWA_WQX-14000247,Lambach Lake,Lake,7080101,41.52571,-90.67541,19,163,STORET
21IOWA_WQX,21IOWA_WQX-14000248,Blue Grass Lake,Lake,7080101,41.52698,-90.68863,19,163,STORET
21IOWA_WQX,21IOWA_WQX-14000249,Railroad Lake,Lake,7080101,41.52472,-90.68261,19,163,STORET
21IOWA_WQX,21IOWA_WQX-14000250,Fort Des Moines Park Pond,Lake,7100008,41.51705,-93.60934,19,153,STORET
21IOWA_WQX,21IOWA_WQX-14000297,South Fork Iowa River 5,River/Stream,7080207,42.40616,-93.30096,19,83,STORET
21IOWA_WQX,21IOWA_WQX-14000359,North River near Norwalk (Hwy 28),River/Stream,7100008,41.44989,-93.68421,19,181,STORET
21IOWA_WQX,21IOWA_WQX-14000362,LPINELK 2,Lake,7080207,42.369921,-93.070214,19,83,STORET
21IOWA_WQX,21IOWA_WQX-14000363,LPINELK 3,Lake,7080207,42.369126,-93.067244,19,83,STORET
